Id,SalePrice
1461,117300.78059459093
1462,157876.12341288722
1463,175129.4760806352
1464,198142.55962615635
1465,207792.23491481005
1466,182097.10641192796
1467,187487.09746374784
1468,171141.65453250206
1469,205114.3456621311
1470,113488.25569521927
1471,213833.08226045722
1472,130005.07354837866
1473,109193.20629689703
1474,163597.19577549293
1475,122211.38993418904
1476,321758.8078560409
1477,252627.723420984
1478,294648.2786458096
1479,273643.9204863274
1480,408220.1694569477
1481,299411.4852946828
1482,226642.0471851948
1483,175705.29882781848
1484,185166.5894078781
1485,199171.16400664707
1486,206975.94187130325
1487,292725.8950558457
1488,261079.5527410357
1489,182679.92121466913
1490,226230.3002108304
1491,210890.48788510065
1492,95016.04912825848
1493,211706.3734956974
1494,295646.61744077096
1495,284170.3984468522
1496,231040.22438182158
1497,179929.25022667565
1498,168090.67074068042
1499,171816.78824372787
1500,161833.54367228982
1501,204766.76063483476
1502,157477.92566845915
1503,272788.394100702
1504,245456.9830008637
1505,223612.38585207902
1506,198680.29422120715
1507,250162.7206724001
1508,203170.25490833877
1509,156964.39375966066
1510,146686.49232394947
1511,148106.4219870224
1512,184336.1615513555
1513,171332.445673864
1514,163616.4363828228
1515,217950.53286696353
1516,171308.11343412998
1517,172769.10370979563
1518,123791.50910863024
1519,243931.6123139317
1520,123084.69925379753
1521,123368.2883573951
1522,202652.00870314555
1523,82436.73300862359
1524,97361.3406818976
1525,98921.5914341301
1526,112573.442914819
1527,91750.28195637034
1528,147323.41589827486
1529,129606.96487456199
1530,230841.2723034321
1531,153198.4614344251
1532,110495.29202952702
1533,142810.07907781238
1534,126974.0864098306
1535,153323.32347186084
1536,101448.00168943324
1537,57806.950041695614
1538,180371.75589225802
1539,218679.3027814048
1540,141825.32551110548
1541,160426.09142699896
1542,141848.87812166288
1543,198872.45427426754
1544,64210.460394500056
1545,119538.03332546854
1546,137343.4572524588
1547,139728.57903791778
1548,129663.19915134122
1549,122874.71023236064
1550,133282.7432448517
1551,132704.76481933752
1552,139586.87572930963
1553,169823.73799824214
1554,120363.93230867223
1555,168960.27606750221
1556,90753.01368876
1557,131497.7790096776
1558,96430.96812974673
1559,101228.07495316106
1560,132067.45383018348
1561,134850.66495085298
1562,111407.1107996864
1563,110736.2946809968
1564,164099.42994502082
1565,145982.1631526088
1566,237041.11834934668
1567,73496.17465278122
1568,226538.32751742087
1569,113457.21795163455
1570,135947.98538128822
1571,105059.33027470915
1572,135226.2498532429
1573,245001.68446749507
1574,125943.87352917227
1575,239642.38488680136
1576,252888.72340683092
1577,194935.12713956332
1578,147140.04199077736
1579,143934.75850988808
1580,208341.27037632803
1581,126487.64609615214
1582,117791.06330771197
1583,312614.77182345453
1584,232584.03872597974
1585,163647.5578812646
1586,49198.67952015274
1587,91485.30955559737
1588,138336.34079572186
1589,106284.12825094745
1590,136148.31025617907
1591,77597.9543103649
1592,128672.56108664395
1593,133115.70228476543
1594,117294.8938055638
1595,137017.23586506734
1596,219741.44869069604
1597,170323.02361631033
1598,203338.68867265864
1599,205445.38047470676
1600,198175.92993437068
1601,22343.460013141157
1602,131385.57940721
1603,57730.7183501313
1604,264855.4256295237
1605,266842.7121155624
1606,178229.64579055633
1607,172345.69150816242
1608,223648.21315333142
1609,192323.74451914674
1610,152527.07044109202
1611,160626.15539559966
1612,166779.18754555786
1613,171287.20797378093
1614,129915.73779161775
1615,83869.46006979758
1616,76667.41402567446
1617,73433.43974466366
1618,102975.14552614675
1619,141374.45404417394
1620,177895.09292926884
1621,138176.4817702889
1622,129631.72202414041
1623,259186.91670081147
1624,213231.19828931906
1625,120114.69762208208
1626,196398.2898784933
1627,197968.8788884849
1628,281654.5332069687
1629,197398.43509307865
1630,331329.5142507154
1631,225680.7382507521
1632,245540.78971155535
1633,191148.52070858178
1634,192168.1622350131
1635,181881.84492695227
1636,161309.14826489694
1637,191273.44005834998
1638,216767.8120462651
1639,202262.6902416543
1640,259812.19028111838
1641,204587.62328532815
1642,224833.16625741322
1643,226599.5077316478
1644,233280.27152183664
1645,222232.0033544259
1646,172885.222692249
1647,176131.61107554578
1648,131699.58382690605
1649,118353.29535377119
1650,107597.56303668208
1651,106240.3869920437
1652,130640.36203634017
